date;no;no2;nox;so2
2013-05-17;15,75;26,29;49,83;1,71
2013-05-18;2,54;14,0;17,38;1,0
2013-05-19;1,67;17,17;19,29;1,08
2013-05-20;3,17;24,63;29,08;1,13
2013-05-21;13,79;31,71;52,42;1,58
2013-05-22;5,33;30,21;38,0;1,63
2013-05-23;5,33;26,92;34,58;1,33
2013-05-24;3,75;18,38;23,58;1,46
2013-05-25;2,0;13,42;15,83;1,04
2013-05-26;2,04;18,0;20,54;1,0
2013-05-27;8,67;26,86;39,76;1,35
2013-05-28;12,38;28,88;47,42;1,33
2013-05-29;3,96;19,75;25,21;1,21
2013-05-30;6,42;29,29;38,58;1,38
2013-05-31;2,5;22,92;26,29;1,29
2013-06-01;2,17;29,67;32,79;1,54
2013-06-02;1,63;15,96;18,08;1,42
2013-06-03;4,54;26,25;32,88;1,29
2013-06-04;9,17;28,88;42,58;1,67
2013-06-05;12,88;32,29;51,58;1,38
2013-06-06;14,29;35,67;57,29;1,96
2013-06-07;8,63;25,21;37,67;1,52
2013-06-08;2,21;9,46;12,33;1,0
2013-06-09;3,42;15,54;20,21;1,21
2013-06-10;8,25;18,83;31,08;1,13
2013-06-11;9,5;31,46;45,63;1,79
2013-06-12;10,17;36,13;51,08;1,92
2013-06-13;10,29;38,79;54,13;2,0
2013-06-14;7,54;26,33;37,46;1,25
2013-06-15;6,33;28,83;37,88;2,29
2013-06-16;4,21;32,67;38,67;2,63
2013-06-17;3,58;29,71;34,83;1,92
2013-06-18;3,75;31,17;36,63;2,54
2013-06-19;5,25;22,88;30,38;4,21
2013-06-20;5,61;24,96;33,13;
2013-06-21;8,25;30,38;42,46;2,67
2013-06-22;4,13;23,67;29,63;1,21
2013-06-23;3,96;20,46;26,29;3,33
2013-06-24;2,29;9,46;12,58;8,54
2013-06-25;14,08;21,17;42,33;1,0
2013-06-26;14,38;29,46;51,0;1,0
2013-06-27;8,67;31,04;44,0;1,0
2013-06-28;9,71;27,54;42,0;1,0
2013-06-29;3,33;24,29;29,21;1,0
2013-06-30;2,5;19,83;23,21;1,0
2013-07-01;8,08;30,38;42,5;1,0
2013-07-02;2,13;12,79;15,67;1,0
2013-07-03;12,59;21,73;40,68;1,0
2013-07-04;6,46;20,0;29,21;1,0
2013-07-05;14,25;23,83;45,21;1,5
2013-07-06;4,5;27,88;34,29;1,58
